id;influencer_id;influencer_handle;feito_por_id;feito_por_nome;feito_em;acao;motivo;created_at
6c955abf-024f-42a2-94aa-5600fcc19a2b;13568084-e5b2-451f-ab04-84e9a82c6b62;	@napolli;5fbb7fd0-2b27-49d4-a179-5896ef04d07e;braga;2026-01-23 21:30:23.96+00;FECHAMENTO;;2026-01-23 21:30:24.460021+00
29b1cfb0-11fb-4513-b9a7-5c490219eee4;a264d91f-e9e0-4a01-b701-9e299dac9ec4;	@carlinhosmaia;5fbb7fd0-2b27-49d4-a179-5896ef04d07e;braga;2026-01-23 21:30:26.059+00;FECHAMENTO;;2026-01-23 21:30:26.525958+00
1dc1976a-09b5-4ede-91b0-c35a09043724;1dd04046-deb5-4f1e-a9ba-20384b010879;	@drake;5fbb7fd0-2b27-49d4-a179-5896ef04d07e;braga;2026-01-23 21:30:27.308+00;FECHAMENTO;;2026-01-23 21:30:27.804455+00
6baf5de5-bbb0-4990-a368-06298233abe2;9d97f1ea-0517-476d-82d5-4b3328242a6e;	@anitta;5fbb7fd0-2b27-49d4-a179-5896ef04d07e;braga;2026-01-23 21:30:28.659+00;FECHAMENTO;;2026-01-23 21:30:29.175614+00
186508c9-4e61-40b3-b50d-80583541b54b;15e4427c-0efe-4bd2-a2fe-c697ea854b50;	@toguro;bbf216e0-ae6c-461a-9d2a-c60a7aba2fec;alan;2026-01-23 21:37:29.174+00;FECHAMENTO;;2026-01-23 21:37:29.756907+00
27b3bb63-e773-4cb9-96ab-02f79dcc6545;15e4427c-0efe-4bd2-a2fe-c697ea854b50;	@toguro;bbf216e0-ae6c-461a-9d2a-c60a7aba2fec;alan;2026-01-23 21:39:24.824+00;FECHAMENTO;;2026-01-23 21:39:25.22504+00
3bb7eff5-aa2e-4e65-bd79-231489f08c97;f54ffa19-3905-4a11-b260-4ce7b9008292;	@napolli.agatha;bbf216e0-ae6c-461a-9d2a-c60a7aba2fec;alan;2026-01-23 21:44:06.591+00;FECHAMENTO;;2026-01-23 21:44:07.012387+00
955fbac2-cf4a-4ca9-92b0-e44068e47141;7ad44f78-5dc5-4279-aae6-19c1ff7ad4db;	@neymajr;0fc6288a-cfb0-4996-b045-9a0de4912159;braga1;2026-01-23 22:36:23.586+00;FECHAMENTO;;2026-01-23 22:36:29.067336+00
3ae783ea-9698-4913-a2b7-1ff384a793c0;71f0a29b-a71c-45c9-ab3f-5c125b4ed1ca;	@veigh;0fc6288a-cfb0-4996-b045-9a0de4912159;braga1;2026-01-23 22:36:37.949+00;FECHAMENTO;;2026-01-23 22:36:38.839008+00
641453f2-6dff-4d71-b27b-9fde13211b38;7ad44f78-5dc5-4279-aae6-19c1ff7ad4db;	@neymajr;0fc6288a-cfb0-4996-b045-9a0de4912159;braga1;2026-01-23 22:39:56.175+00;FECHAMENTO;;2026-01-23 22:39:56.601855+00
